watchdog-mailcow-1  | {"time":"2026-09-02T03:56:39.06124234+02:00","level":"DEBUG","msg":"probe passed","check":"redis","probe":"ping","took":202366,"detail":"ping: Redis answered PONG"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:39.061380768+02:00","level":"DEBUG","msg":"health level","check":"redis","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.849224965+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"lmtp-24","took":14636459,"detail":"lmtp-24: dovecot-mailcow:24 completed the LMTP conversation"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.854374707+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imaps-993","took":5122962,"detail":"imaps-993: dovecot-mailcow:993 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ AUTH=PLAIN AUTH=LOGIN] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.856171138+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"imap-143","took":1765525,"detail":"imap-143: dovecot-mailcow:143 greeted with \"* OK [CAPABILITY IMAP4rev1 SASL-IR LOGIN-REFERRALS ID ENABLE IDLE LITERAL+ STARTTLS LOGINDISABLED] Dovecot ready.\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.857358319+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"replication-10001","took":949524,"detail":"replication-10001: dovecot-mailcow:10001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.85859156+02:00","level":"DEBUG","msg":"probe passed","check":"dovecot","probe":"managesieve-4190","took":1105929,"detail":"managesieve-4190: dovecot-mailcow:4190 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:40.859617329+02:00","level":"DEBUG","msg":"health level","check":"dovecot","percent":100,"health":12,"of":12,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:43.938199324+02:00","level":"DEBUG","msg":"probe passed","check":"olefy","probe":"olefy-10055","took":819096,"detail":"olefy-10055: olefy-mailcow:10055 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:43.938393537+02:00","level":"DEBUG","msg":"health level","check":"olefy","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:48.276396073+02:00","level":"DEBUG","msg":"probe passed","check":"fail2ban","probe":"active-bans","took":361274,"detail":"active-bans: no new bans"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:48.276564916+02:00","level":"DEBUG","msg":"health level","check":"fail2ban","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:54.621378659+02:00","level":"DEBUG","msg":"probe passed","check":"acme","probe":"fail-time","took":295988,"detail":"fail-time: ACME_FAIL_TIME unchanged at \"1788196191\""}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:54.621554295+02:00","level":"DEBUG","msg":"health level","check":"acme","percent":100,"health":1,"of":1,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:57.2371522+02:00","level":"DEBUG","msg":"probe passed","check":"nginx","probe":"http-8081","took":976233,"detail":"http-8081: GET http://nginx-mailcow:8081/ returned 200 OK"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:56:57.237372552+02:00","level":"DEBUG","msg":"health level","check":"nginx","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:04.207984908+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"connect","took":208364,"detail":"connect: database is reachable"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:04.208715179+02:00","level":"DEBUG","msg":"probe passed","check":"mysql","probe":"table-count","took":704673,"detail":"table-count: query succeeded"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:04.208987171+02:00","level":"DEBUG","msg":"health level","check":"mysql","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:05.502763097+02:00","level":"WARN","msg":"probe failed","check":"cert","probe":"postfix-cert","status":"CRITICAL","points":2,"took":44080021,"detail":"postfix-cert: postfix-mailcow:589: certificate expired on 2019-11-28T10:11:00Z"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:05.508605533+02:00","level":"WARN","msg":"probe failed","check":"cert","probe":"dovecot-cert","status":"CRITICAL","points":2,"took":5803179,"detail":"dovecot-cert: dovecot-mailcow:993: certificate expired on 2019-11-28T10:11:00Z"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:05.509233341+02:00","level":"INFO","msg":"health level","check":"cert","percent":0,"health":0,"of":7,"trend":-4}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:06.657523952+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9001","took":785235,"detail":"fpm-9001: php-fpm-mailcow:9001 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:06.657885978+02:00","level":"DEBUG","msg":"probe passed","check":"php-fpm","probe":"fpm-9002","took":320293,"detail":"fpm-9002: php-fpm-mailcow:9002 responded as expected"}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:06.658078628+02:00","level":"DEBUG","msg":"health level","check":"php-fpm","percent":100,"health":5,"of":5,"trend":0}
watchdog-mailcow-1  | {"time":"2026-09-02T03:57:10.603839284+02:00","level":"DEBUG","msg":"probe passed","check":"mailq","probe":"deferred","took":135124,"detail":"deferred: mail queue contains 0 items (critical limit is 30)"}
